artist_id,song_id,danceability,duration_ms,energy,key,loudness,acousticness,instrumentalness,liveness,valence,tempo
2xiIXseIJcq3nG7C8fHeBj,56sk7jBpZV0CD31G9hEU3b,0.553,231400.0,0.853,8.0,-3.668,0.000684,0.0,0.126,0.506,122.023
2RTUTCvo6onsAnheUk3aL9,0S0d7Qad5v7ZLQiAuwQxab,0.544,233933.0,0.866,11.0,-4.889,0.00547,1.62e-05,0.15,0.51,99.021
2RTUTCvo6onsAnheUk3aL9,3NLrRZoMF0Lx6zTlYqeIo4,0.536,238560.0,0.55,10.0,-6.733,0.0537,0.0,0.134,0.234,144.018
2NhdGz9EDv2FeUw6udu2g1,1OXfWI3FQMdsKKC6lkvzSx,0.698,198467.0,0.844,7.0,-4.549,0.0577,1.69e-05,0.105,0.446,126.937
2NhdGz9EDv2FeUw6udu2g1,2I7TngtQc3oZO0fsyFDUAJ,0.643,198800.0,0.725,7.0,-6.167,0.247,0.0,0.507,0.665,128.002
6MF9fzBmfXghAz953czmBC,4PYTMO1VMWLPVvGUtqkUwv,0.534,188133.0,0.902,8.0,-4.24,0.0271,0.0,0.125,0.548,127.983
1ZKqrja0WvbSssYNFO3lzs,4dWjQ3wEfW6KPaaxCoaPH4,0.595,224093.0,0.923,7.0,-3.449,0.0693,0.0,0.505,0.782,125.029
7oPftvlwr6VrsViSDV7fJY,64yrDBpcdwEdNY9loyEGbX,0.268,321093.0,0.742,5.0,-4.939,0.0518,0.0,0.626,0.416,159.779
7oPftvlwr6VrsViSDV7fJY,6L89mwZXSOwYl76YXfX13s,0.442,181533.0,0.943,3.0,-3.205,0.00293,8.71e-06,0.091,0.781,85.064
7oPftvlwr6VrsViSDV7fJY,0MsrWnxQZxPAcov7c74sSo,0.29,493400.0,0.827,8.0,-3.451,0.000659,2.55e-06,0.301,0.45,167.086
7oPftvlwr6VrsViSDV7fJY,6nTiIhLmQ3FWhvrGafw2zj,0.38,176346.0,0.988,1.0,-2.042,2.64e-05,7.86e-05,0.368,0.769,186.113
0vWCyXMrrvMlCcepuOJaGI,6GIrIt2M39wEGwjCQjGChX,0.423,206520.0,0.94,1.0,-4.012,0.00166,0.0,0.178,0.505,149.934
